10:12667525-12667625	12667583	12667647	64	1	9	0	1	0	1
10:12667596-12667696	12667615	12667647	32	1	12	0.1875	0	0	1
10:127197184-127197284	127197235	127197223	-12	28	20	0	10	12	1
10:15220317-15220417	15220364	15220387	23	1	8	0.631578947368421	2	0	0
10:15220342-15220442	15220372	15220394	22	19	7	0.296296296296296	12	2	1
10:36946307-36946407	36946358	36946465	107	14	7	0	0	0	0
10:4905868-4905968	4905844	4905919	75	5	9	0	0	0	0
10:70022182-70022282	70022079	70022233	154	7	18	0	0	5	0
10:71999713-71999813	71999668	71999768	100	7	13	0.142857142857143	1	0	0
10:82387355-82387455	82387400	82387411	11	3	0	0	0	1	-1
1:10028559-10028659	10028610	10028668	58	10	6	0.0625	0	0	0
1:108567508-108567608	108567553	108567564	11	14	18	0.0555555555555556	1	6	0
11:112202450-112202550	112202501	112202646	145	26	7	0	6	0	0
11:118292418-118292518	118292469	118292472	3	1	13	0	0	2	0
11:18399814-18399914	18399865	18399917	52	17	18	0	6	0	0
11:18399866-18399966	18399865	18399917	52	17	18	0	6	0	0
11:18399900-18400000	18399865	18399917	52	17	18	0	6	0	0
11:22265227-22265327	22265278	22265451	173	12	0	0	3	0	-1
11:26418443-26418543	26418539	26418494	-45	7	1	0.225	2	5	0
11:26418490-26418590	26418539	26418494	-45	7	1	0.225	2	5	0
1:1413167-1413267	1413218	1413383	165	13	12	0	1	0	0
1:145211270-145211370	0	145211324	145211324	0	12	0	0	1	0
11:57907352-57907452	57907337	57907403	66	8	5	0	0	0	0
11:59412744-59412844	59412795	59412851	56	15	5	0.0416666666666667	0	0	0
11:59412800-59412900	59412795	59412851	56	15	5	0.0416666666666667	0	0	0
1:161031054-161031154	161031105	161031233	128	10	11	0	0	1	1
11:6370919-6371019	6370970	6371106	136	6	6	0	0	0	-1
11:66365865-66365965	66365916	66365961	45	1	19	0.0714285714285714	0	0	0
11:66365884-66365984	66365916	66365961	45	1	19	0.0714285714285714	0	0	0
11:66365910-66366010	66365916	66365961	45	1	19	0.0714285714285714	0	0	0
11:66990029-66990129	66990081	66990141	60	12	7	0	0	0	0
11:67000920-67001020	67000997	67000971	-26	13	2	0.0333333333333333	0	0	-1
11:68196342-68196442	68196393	68196416	23	13	8	0.266666666666667	0	1	-1
11:68196365-68196465	68196393	68196416	23	4	12	0.175	0	1	-1
1:169962694-169962794	169962764	169962745	-19	5	54	0.0166666666666667	0	8	0
1:169962778-169962878	169962829	169963009	180	41	11	0	0	0	0
1:196153481-196153581	196153532	196153548	16	11	14	0.111111111111111	0	1	1
1:203808939-203809039	0	203808990	203808990	0	0	0	0	0	0
12:11207624-11207724	11207687	11207675	-12	30	12	0	26	4	-1
12:120905624-120905724	120905675	120905800	125	0	9	0	0	0	0
1:212898336-212898436	212898387	212898438	51	25	5	0	0	0	0
12:25259412-25259512	25259494	25259463	-31	36	67	0.12781954887218	10	1	1
12:25259443-25259543	25259494	25259463	-31	36	50	0	10	1	1
12:2938982-2939082	2939033	2939101	68	7	10	0	0	0	0
12:2939047-2939147	2939033	2939101	68	7	11	0.0526315789473684	0	0	0
1:231085106-231085206	231085151	231085162	11	16	22	0	7	9	0
12:32251752-32251852	32251800	32251856	56	11	17	0.0645161290322581	1	0	0
12:32251819-32251919	32251800	32251856	56	9	17	0	1	0	0
1:246739447-246739547	246739537	246739556	19	20	3	0.64	0	0	0
12:47369578-47369678	47369626	47369631	5	1	10	0	2	3	0
12:6248306-6248406	6248357	6248436	79	42	26	0.0677966101694915	0	20	1
12:6248351-6248451	6248357	6248436	79	42	26	0.0677966101694915	0	20	1
12:6248381-6248481	6248357	6248436	79	35	26	0	0	20	1
12:6414601-6414701	6414652	6414704	52	8	7	0	0	0	0
12:7107979-7108079	7108009	7108030	21	10	7	0.16	0	0	-1
12:7108069-7108169	7108015	7108156	141	0	6	0	0	0	0
12:85506225-85506325	85506276	85506291	15	1	18	0	1	16	-1
12:85506239-85506339	85506276	85506291	15	1	18	0	1	16	-1
1:28736548-28736648	28736599	28736727	128	16	17	0	5	0	0
1:29321421-29321521	29321463	29321474	11	18	7	0.032258064516129	6	0	1
1:29382177-29382277	29382165	29382228	63	11	5	0	0	0	-1
13:25838861-25838961	25838847	25838911	64	1	12	0.307692307692308	0	0	0
1:33108334-33108434	33108379	33108390	11	36	9	0.0365853658536585	14	4	0
13:42771281-42771381	42771192	42771404	212	0	13	0	0	3	0
13:42771338-42771438	42771389	42771404	15	6	13	0	0	3	0
13:42771353-42771453	42771389	42771404	15	6	13	0	0	3	0
13:43262650-43262750	43262729	43262701	-28	19	17	0.0238095238095238	2	3	1
13:43262678-43262778	43262729	43262701	-28	19	16	0.024390243902439	2	3	1
13:50460709-50460809	50460728	50460760	32	14	0	0.0434782608695652	0	1	0
13:64964485-64964585	64964520	64964536	16	7	15	0.0384615384615385	0	7	-1
14:21745374-21745474	21745428	21745430	2	14	10	0.375	0	0	0
14:23414106-23414206	23414151	23414182	31	9	20	0.355263157894737	10	0	1
14:23414139-23414239	23414165	23414189	24	10	28	0.303370786516854	4	5	1
14:74013593-74013693	74013629	74013644	15	5	2	0	0	0	-1
14:82753819-82753919	82753895	82753870	-25	45	43	0.0277777777777778	0	0	-1
14:82753844-82753944	82753895	82753870	-25	45	43	0.0277777777777778	0	0	-1
15:20498399-20498499	20498454	20498534	80	3	5	0	0	0	0
15:23707529-23707629	23707580	23707648	68	32	6	0	1	0	-1
15:25137601-25137701	25137650	25137752	102	9	13	0	2	1	0
15:25137624-25137724	25137650	25137752	102	9	13	0	2	1	0
15:25137701-25137801	25137650	25137752	102	8	13	0.0454545454545455	2	1	-1
15:34638761-34638861	34638812	34638841	29	24	8	0.32	0	0	0
15:34638790-34638890	34638812	34638857	45	11	13	0.428571428571429	0	0	0
15:34638811-34638911	34638812	34638857	45	9	13	0.393939393939394	0	0	0
15:52264744-52264844	52264739	52264795	56	4	9	0	0	1	0
15:91112742-91112842	91112793	91112781	-12	29	10	0	6	0	0
15:97585878-97585978	97585929	97585946	17	10	10	0.04	7	0	1
16:24347913-24348013	24347981	24347964	-17	11	19	0	0	1	0
16:288994-289094	289045	289171	126	0	1	0	0	0	0
16:289123-289223	289175	289173	-2	29	2	0.0294117647058824	0	0	0
16:289144-289244	289175	289173	-2	29	2	0.0294117647058824	0	0	0
16:30135142-30135242	30135193	30135250	57	0	0	0	0	0	0
16:30135199-30135299	30135193	30135390	197	0	11	0	0	0	0
16:30135271-30135371	30135322	30135390	68	10	11	0	0	0	0
16:30763467-30763567	30763518	30763569	51	15	19	0	1	0	0
16:75503265-75503365	75503316	75503335	19	5	4	0.105263157894737	0	0	-1
16:75503284-75503384	75503316	75503335	19	4	4	0.0555555555555556	0	0	-1
16:77564374-77564474	77564425	77564483	58	21	20	0	0	2	0
16:77564432-77564532	77564425	77564483	58	21	21	0.0227272727272727	0	2	0
16:77849792-77849892	77849736	77849838	102	6	17	0	0	0	0
16:89684147-89684247	89684119	89684197	78	11	23	0.0588235294117647	0	1	0
16:89910031-89910131	89910100	89910087	-13	13	10	0.148148148148148	0	0	-1
17:1141530-1141630	1141453	1141730	277	6	9	0	0	0	0
